Reference, Value, Footprint, Datasheet, Manufacturer PN, ManPN, Man PN
P1,12Vin,Pin_Headers:Pin_Header_Straight_1x02,
R7,.02,Resistors_SMD:R_0805,,CRF0805-FX-R020ELF,,
R10,100,Resistors_SMD:R_0603,
R11,100,Resistors_SMD:R_0603,
R12,0,Resistors_SMD:R_0603,
R13,0,Resistors_SMD:R_0603,
R16,0,Resistors_SMD:R_0603,
R17,0,Resistors_SMD:R_0603,
C9,4.7uf,Capacitors_SMD:C_0805,,CC0805ZRY5V6BB475,,
R20,3.9K,Resistors_SMD:R_0603,
R19,1K,Resistors_SMD:R_0603,
R21,3.9K,Resistors_SMD:R_0603,
R22,1K,Resistors_SMD:R_0603,
U3,LT6105,Power:LT6105,
R18,1000,Resistors_SMD:R_0603,
C7,DNP,Capacitors_SMD:C_0603,
C8,DNP,Capacitors_SMD:C_0603,
U1,KL03-QFN24,Housings_DFN_QFN:QFN-24-1EP_4x4mm_Pitch0.5mm,DOCUMENTATION
R9,0,Resistors_SMD:R_0603,
R5,200000,Resistors_SMD:R_0603,
R6,10000,Resistors_SMD:R_0603,
C3,1uf,Capacitors_SMD:C_0603,
R14,80,Resistors_SMD:R_0603,
R15,80,Resistors_SMD:R_0603,
TH1,THERMISTOR,Pin_Headers:Pin_Header_Straight_1x02,,NTCLE100E3103JB0,NTCLE100E3103JB0,
R1,1500,Resistors_SMD:R_0603,
C2,1uf,Capacitors_SMD:C_0603,
C4,10u,Capacitors_SMD:C_0805,,GRM21BR61E106KA73L,,GRM21BR61E106KA73L
C6,10uf,Capacitors_SMD:C_0805,,GRM21BR61E106KA73L,,
C5,1uf,Capacitors_SMD:C_0603,
R8,10000,Resistors_SMD:R_0603,
P2,TC2030-CTX,Tag-Connect:TC2030-NL_SMALL,
U2,TLV71209DBV,Housings_SOT-23_SOT-143_TSOT-6:SOT-23-5,,TLV70036DDCR,,
R44,4.7k,Resistors_SMD:R_0603,
R45,4.7k,Resistors_SMD:R_0603,
P9,12Vin2,Power:ultraFitCONN_2,
P10,3v3Vout,Power:ultraFitCONN_2,
D4,LED,LEDs:LED-0603,
D5,LED,LEDs:LED-0603,
R53,0,Resistors_SMD:R_0603,
R54,DNP,Resistors_SMD:R_0603,
D11,ZENER,Diodes_SMD:Diode-SMB_Standard,,SMBJ16CA-E3/52,,
U8,MMQA,Power:SC-74,
D12,ZENER,Diodes_SMD:Diode-SMA_Standard,,1SMA5.0AT3G,,
Q4,Q_PMOS_GSD,Housings_SOT-23_SOT-143_TSOT-6:SOT-23,,DMP3099L,,
Q6,Q_PMOS_GSD,Housings_SOT-23_SOT-143_TSOT-6:SOT-23,,DMP3099L,,
P5,3v3Out,Socket_Strips:Socket_Strip_Straight_1x01,
P6,3v3Bypass,Socket_Strips:Socket_Strip_Straight_1x01,
U5,TPS563200,Housings_SOT-23_SOT-143_TSOT-6:SOT-23-6,
C10,22uf,Capacitors_SMD:C_1206,,GRM31CR61E226ME15L,,
C11,100nf,Capacitors_SMD:C_0402,
R25,33.2k,Resistors_SMD:R_0603,
R26,10k,Resistors_SMD:R_0603,
L1,2.2uh,SMD_Packages:SMD-2010_Pol,,TYS50402R2N-10,,
R24,10K,Resistors_SMD:R_0603,
R23,10K,Resistors_SMD:R_0603,
C12,47uf,Capacitors_SMD:C_1206,,GRM31CE70J476ME15L,,
Q3,MOS_N_numbered,Housings_SOT-23_SOT-143_TSOT-6:SOT-23,,DMG2302U,,
U6,LT3652,Housings_DFN_QFN:DFN-12-1EP_3x3mm_Pitch0.45mm,
C13,10uf,Capacitors_SMD:C_0805,
R27,13.7k,Resistors_SMD:R_0603,
R28,10k,Resistors_SMD:R_0603,
C15,1uf,Capacitors_SMD:C_0603,
L2,5.6uh,ASPI-6045S-5R6M-T:ASPI-6045S-5R6M-T,,ASPI-6045S-5R6M-T,,
D7,CMSH3-40MA,Diodes_SMD:Diode-SMA_Standard,
C16,10uf,Capacitors_SMD:C_0805,
R34,.1,Resistors_SMD:R_0805,
TH2,THERMISTOR,Pin_Headers:Pin_Header_Straight_1x02,,NTCLE100E3103JB0,,
R31,237k,Resistors_SMD:R_0603,
R32,14.3k,Resistors_SMD:R_0603,
R33,330k,Resistors_SMD:R_0603,
R29,49.9K,Resistors_SMD:R_0603,
R30,10k,Resistors_SMD:R_0603,
C14,.68uf,Capacitors_SMD:C_0603,,CL21F684ZAFNNNE,,
D6,CMDSH2-4L,Diodes_SMD:SOD-323,
BT2,BATTERY,Pin_Headers:Pin_Header_Straight_1x02,
BT1,18650Outline,18650:18650,
P3,BAT_POS,Socket_Strips:Socket_Strip_Straight_1x01,
P4,BAT_NEG,Socket_Strips:Socket_Strip_Straight_1x01,
U7,LT4415,Housings_DFN_QFN:DFN-16-1EP_3x5mm_Pitch0.5mm,
R35,237K,Resistors_SMD:R_0603,
R36,30.1K,Resistors_SMD:R_0603,
R37,95.3K,Resistors_SMD:R_0603,
R39,165,Resistors_SMD:R_0603,
R38,165,Resistors_SMD:R_0603,
R41,470K,Resistors_SMD:R_0603,
R42,470K,Resistors_SMD:R_0603,
C18,1u,Capacitors_SMD:C_0603,
C17,1u,Capacitors_SMD:C_0603,
T_RF_OUT1,SMA,sma:SMA,
T_BP_1,CONN_02X10,Socket_Strips:Socket_Strip_Straight_2x10,
T_BP_2,CONN_02X10,Socket_Strips:Socket_Strip_Straight_2x10,
T_GPS1,SMA,sma:SMA,
T_PICO_BLADE1,CONN_01X08,uclasp:uClasp8,
T_SCREW_1,CONN_01X01,mounting_screw:mounting_screw,
T_SCREW_2,CONN_01X01,mounting_screw:mounting_screw,
T_SCREW_3,CONN_01X01,mounting_screw:mounting_screw,
F1,FUSE,Fuse_Holders_and_Fuses:Fuse_SMD2920,,MF-LSMF260X-2,,
D1,DIODE,Diodes_SMD:Diode-SMA_Standard,,B340-13-F,,
R2,10,Resistors_SMD:R_0603,
C1,1uf 100v,Capacitors_SMD:C_1206,
Q1,Q_PNP_BEC,Housings_SOT-23_SOT-143_TSOT-6:SOT-23,,MMBT3906,,
R3,100k,Resistors_SMD:R_0603,
D2,ZENER,Diodes_SMD:SOD-123,,BZT52C16-7-F,,
R4,27.4k,Resistors_SMD:R_0603,
C19,1uf 100v,Capacitors_SMD:C_1206,
R47,10,Resistors_SMD:R_0603,
C20,.1uf 100v,Capacitors_SMD:C_1206,
R48,10.2k,Resistors_SMD:R_0603,
D10,D_Schottky_x2_Serial_AKC,Transistors_SMD:sc70,,BAV99WT1G,,
R46,33.2k,Resistors_SMD:R_0603,
D3,ZENER,Diodes_SMD:SOD-123,,BZT52C16-7-F,,
Q2,Si3407DV,Power:Si3407DV,
U4,TPS563200,Housings_SOT-23_SOT-143_TSOT-6:SOT-23-6,
C21,22uf,Capacitors_SMD:C_1206,,GRM31CR61E226ME15L,,
C22,100nf,Capacitors_SMD:C_0603,
R51,56.2k,Resistors_SMD:R_0603,
R52,10k,Resistors_SMD:R_0603,
L3,3.3uh,NRS8030:NRS8030T3R3MJGJ,,NRS8030T3R3MJGJ,,
R50,10K,Resistors_SMD:R_0603,
R49,10K,Resistors_SMD:R_0603,
C23,47uf,Capacitors_SMD:C_1206,,GRM31CE70J476ME15L,,
Q5,MOS_N_numbered,Housings_SOT-23_SOT-143_TSOT-6:SOT-23,,DMG2302U,,
